City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tierra Colorada,MX,17.1667,-99.5833,91.63,48,83,6.71,broken clouds
1,Iqaluit,CA,63.7506,-68.5145,31.73,100,90,8.01,light snow
2,Carnarvon,AU,-24.8667,113.6333,55.47,82,81,12.66,broken clouds
3,Upernavik,GL,72.7868,-56.1549,31.39,88,30,6.98,scattered clouds
4,Varkaus,FI,62.3153,27.873,52.3,67,98,3.58,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,29.86,100,75,11.5,broken clouds
6,Nicoya,CR,10.1483,-85.452,90.95,53,91,6.35,overcast clouds
7,Leningradskiy,RU,69.3833,178.4167,30.74,83,53,14.83,broken clouds
8,Morondava,MG,-20.2833,44.2833,69.76,85,100,6.82,overcast clouds
9,Angarsk,RU,52.5367,103.8864,39.92,95,77,4.32,broken clouds
10,Hermanus,ZA,-34.4187,19.2345,55.9,80,32,4.76,scattered clouds
11,Sitka,US,57.0531,-135.33,58.01,78,100,3.89,overcast clouds
12,Litovko,RU,49.2361,135.1742,53.6,97,100,9.31,overcast clouds
13,Naze,JP,28.3667,129.4833,74.32,88,99,13.58,overcast clouds
14,Khatanga,RU,71.9667,102.5,36.81,99,100,3.44,light rain
15,Saldanha,ZA,-33.0117,17.9442,53.65,86,1,9.55,clear sky
16,Kananga,CD,-5.8958,22.4178,70.07,47,82,3.58,broken clouds
17,Hualmay,PE,-11.0964,-77.6139,66.49,81,99,11.1,overcast clouds
18,San Vicente,AR,-26.6167,-54.1333,58.8,73,0,2.21,clear sky
19,Mataura,NZ,-46.1927,168.8643,49.48,92,100,3.53,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,71.29,56,1,20.74,clear sky
21,Bartica,GY,6.4,-58.6167,80.92,98,83,4.07,broken clouds
22,Barrow,US,71.2906,-156.7887,31.57,81,100,13.85,overcast clouds
23,Mahebourg,MU,-20.4081,57.7,73.26,88,40,6.91,scattered clouds
24,Port Alfred,ZA,-33.5906,26.891,60.04,85,84,9.37,broken clouds
25,Zhanaozen,KZ,43.3,52.8,77.58,36,0,3.31,clear sky
26,Sokolo,ML,14.7328,-6.1219,99.86,17,10,4.18,clear sky
27,Riosucio,CO,5.4216,-75.7032,66.63,95,100,1.88,overcast clouds
28,Rayachoti,IN,14.05,78.75,85.06,56,97,0.65,overcast clouds
29,Geraldton,AU,-28.7667,114.6,50.41,87,0,8.28,clear sky
30,Sao Filipe,CV,14.8961,-24.4956,72.61,80,67,4.74,broken clouds
31,Qaanaaq,GL,77.484,-69.3632,30.34,84,88,4.97,overcast clouds
32,Guerrero Negro,MX,27.9769,-114.0611,72.43,51,1,14.25,clear sky
33,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,8,3.42,clear sky
34,Antalaha,MG,-14.9003,50.2788,72.37,77,31,7.14,scattered clouds
35,Aksarka,RU,66.5606,67.7975,32.99,72,16,16.33,few clouds
36,Paranaiba,BR,-19.6772,-51.1908,74.21,54,29,1.95,scattered clouds
37,Kapaa,US,22.0752,-159.319,83.19,68,27,3.0,scattered clouds
38,Saint-Philippe,RE,-21.3585,55.7679,74.75,87,75,12.93,light rain
39,Huangzhou,CN,30.45,114.8,80.78,88,99,5.12,overcast clouds
40,Torbay,CA,47.6666,-52.7314,54.37,87,90,23.02,overcast clouds
41,Kampene,CD,-3.6,26.6667,68.65,87,44,2.66,scattered clouds
42,Ryuo,JP,35.65,138.5,67.17,81,100,1.99,overcast clouds
43,Lima,PE,-12.0432,-77.0282,65.89,83,90,6.91,overcast clouds
44,Richards Bay,ZA,-28.783,32.0377,62.4,79,99,16.04,light rain
45,Damietta,EG,31.4165,31.8133,76.89,71,1,8.68,clear sky
46,Pangnirtung,CA,66.1451,-65.7125,39.2,70,90,9.22,light rain
47,Busselton,AU,-33.65,115.3333,55.04,67,100,7.16,overcast clouds
48,Avarua,CK,-21.2078,-159.775,80.65,61,20,8.05,few clouds
49,College,US,64.8569,-147.8028,64.2,63,90,0.0,moderate rain
50,Severo-Kurilsk,RU,50.6789,156.125,40.86,87,99,6.6,overcast clouds
51,Matagami,CA,49.7502,-77.6328,68.11,42,75,8.16,broken clouds
52,Bluff,NZ,-46.6,168.3333,49.8,79,83,15.32,broken clouds
53,Mogadishu,SO,2.0371,45.3438,78.24,84,59,14.25,broken clouds
54,Atuona,PF,-9.8,-139.0333,79.97,73,12,14.29,few clouds
55,Lebu,CL,-37.6167,-73.65,56.28,95,100,4.34,overcast clouds
56,Novobiryusinskiy,RU,56.9578,97.7076,50.68,68,0,3.85,clear sky
57,Cabo San Lucas,MX,22.8909,-109.9124,96.8,48,73,11.07,broken clouds
58,Punta Arenas,CL,-53.15,-70.9167,30.31,93,0,2.17,clear sky
59,Bambous Virieux,MU,-20.3428,57.7575,73.22,88,40,15.14,scattered clouds
60,High Level,CA,58.5169,-117.136,82.51,24,20,9.98,few clouds
61,Sioux Lookout,CA,50.1001,-91.917,75.58,27,90,8.05,overcast clouds
62,Hobart,AU,-42.8794,147.3294,52.27,72,0,5.01,light rain
63,Vaini,TO,-21.2,-175.2,71.76,94,75,9.22,light rain
64,Madinat Sittah Uktubar,EG,29.8167,31.05,75.56,51,0,13.22,clear sky
65,Cape Town,ZA,-33.9258,18.4232,56.12,87,0,1.99,clear sky
66,Kruisfontein,ZA,-34.0033,24.7314,52.88,80,33,10.27,scattered clouds
67,Urgut,UZ,39.4022,67.2431,78.42,28,19,6.53,few clouds
68,Victoria,HK,22.2855,114.1577,80.94,92,100,8.39,overcast clouds
69,Mar Del Plata,AR,-38.0023,-57.5575,61.12,56,0,3.0,clear sky
70,Mount Gambier,AU,-37.8333,140.7667,46.31,81,90,8.05,overcast clouds
71,Norman Wells,CA,65.282,-126.8329,50.04,66,75,14.97,broken clouds
72,Hithadhoo,MV,-0.6,73.0833,83.61,66,100,15.97,overcast clouds
73,Saint-Pierre,RE,-21.3393,55.4781,74.84,80,75,16.11,broken clouds
74,Touros,BR,-5.1989,-35.4608,79.7,74,9,13.51,clear sky
75,Dikson,RU,73.5069,80.5464,32.63,98,99,8.57,overcast clouds
76,Kholtoson,RU,50.2981,103.3097,41.86,90,100,4.76,overcast clouds
77,Yellowknife,CA,62.456,-114.3525,55.33,100,90,3.44,overcast clouds
78,Kavieng,PG,-2.5744,150.7967,78.78,87,100,7.72,light rain
79,Faya,SA,18.3851,42.4509,73.51,17,2,10.02,clear sky
80,Nemuro,JP,43.3236,145.575,47.52,86,88,7.34,overcast clouds
81,Nikolskoye,RU,59.7035,30.7861,51.69,75,23,1.36,few clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,100,5.99,overcast clouds
83,Gorontalo,ID,0.5412,123.0595,74.88,94,93,3.0,overcast clouds
84,Hilo,US,19.7297,-155.09,83.8,79,63,3.0,broken clouds
85,Barentu,ER,15.1139,37.5928,84.58,19,0,9.17,clear sky
86,Nome,US,64.5011,-165.4064,52.16,35,0,5.99,clear sky
87,Takhtamygda,RU,54.1,123.5667,55.6,71,76,1.9,broken clouds
88,Yining,CN,29.0361,114.5636,74.16,95,100,1.81,overcast clouds
89,Castro,BR,-24.7911,-50.0119,55.08,85,0,1.32,clear sky
90,Katsuura,JP,35.1333,140.3,72.1,76,100,7.61,overcast clouds
91,Sabha,LY,27.0377,14.4283,87.69,19,6,10.67,clear sky
92,Zhezkazgan,KZ,47.8043,67.7144,68.63,60,80,9.62,light rain
93,Albert Lea,US,43.648,-93.3683,78.84,31,1,0.0,clear sky
94,Bat Khela,PK,34.6167,71.9714,73.76,52,51,5.82,broken clouds
95,Kodinar,IN,20.7903,70.7031,82.27,77,5,6.69,clear sky
96,Jamestown,US,42.097,-79.2353,70.09,45,75,8.05,broken clouds
97,Bainbridge,US,47.6262,-122.5212,89.73,49,8,1.01,clear sky
98,Alofi,NU,-19.0595,-169.9187,71.49,100,90,16.11,overcast clouds
99,Narsaq,GL,60.9167,-46.05,41.54,73,89,4.88,overcast clouds
100,Kurchum,KZ,48.5722,83.6542,65.01,60,88,5.68,overcast clouds
101,Airai,TL,-8.9266,125.4092,57.24,92,35,2.39,scattered clouds
102,Adrar,MR,20.5022,-10.0711,93.45,23,84,12.64,broken clouds
103,Yulara,AU,-25.2406,130.9889,44.44,87,0,5.75,clear sky
104,Butaritari,KI,3.0707,172.7902,83.12,81,98,16.89,light rain
105,Klaksvik,FO,62.2266,-6.589,47.32,86,100,14.18,overcast clouds
106,Namibe,AO,-15.1961,12.1522,69.64,85,87,1.77,overcast clouds
107,San Pedro Del Pinatar,ES,37.8357,-0.791,69.85,82,20,5.01,few clouds
108,Vila,PT,42.0304,-8.1588,51.75,89,86,3.27,overcast clouds
109,Bethanien,NA,-26.502,17.1583,48.49,43,0,7.54,clear sky
110,Hidalgo,MX,20.5,-99.0,75.27,47,51,15.97,broken clouds
111,Itarema,BR,-2.9248,-39.9167,78.44,81,20,9.28,few clouds
112,Poya,NC,-21.35,165.15,71.65,55,51,5.21,broken clouds
113,Seoul,KR,37.5683,126.9778,63.84,94,20,2.55,mist
114,Srednekolymsk,RU,67.45,153.6833,64.2,26,98,11.56,overcast clouds
115,Sibolga,ID,1.7427,98.7792,77.22,84,83,3.31,broken clouds
116,San Ramon,US,37.7799,-121.978,98.82,39,17,10.0,few clouds
117,Yongan,CN,39.6957,113.6871,58.44,75,13,3.36,few clouds
118,Shimoda,JP,34.6667,138.95,69.12,82,100,3.15,overcast clouds
119,Ardakan,IR,32.31,54.0175,87.58,11,2,10.11,clear sky
120,Port Hedland,AU,-20.3167,118.5667,68.05,37,100,11.5,overcast clouds
121,Beysehir,TR,37.6773,31.7246,50.14,84,4,2.3,clear sky
122,Carutapera,BR,-1.195,-46.02,77.59,85,7,6.82,light rain
123,Husavik,IS,66.0449,-17.3389,49.91,67,97,8.86,overcast clouds
124,Pevek,RU,69.7008,170.3133,37.53,70,37,2.28,scattered clouds
125,Thompson,CA,55.7435,-97.8558,66.36,37,20,4.61,few clouds
126,Ponta Do Sol,PT,32.6667,-17.1,68.63,70,51,2.95,broken clouds
127,Saint George,US,37.1041,-113.5841,99.39,10,1,1.01,clear sky
128,Sambava,MG,-14.2667,50.1667,70.11,87,20,9.64,few clouds
129,Askiz,RU,53.1319,90.5264,49.96,73,21,3.47,few clouds
130,Stephenville,US,32.2207,-98.2023,71.73,68,90,6.91,overcast clouds
131,Pontian Kecil,MY,1.4801,103.3899,82.49,85,32,5.37,scattered clouds
132,Kletnya,RU,53.3897,33.2171,50.16,89,49,5.97,scattered clouds
133,Hasaki,JP,35.7333,140.8333,64.8,73,100,9.17,overcast clouds
134,Asau,RO,46.4333,26.4,51.76,95,100,6.17,overcast clouds
135,Aklavik,CA,68.2191,-135.0107,36.43,93,90,5.75,snow
136,Vestmannaeyjar,IS,63.4427,-20.2734,45.28,82,100,15.14,overcast clouds
137,Provideniya,RU,64.3833,-173.3,39.31,60,0,17.9,clear sky
138,Opuwo,NA,-18.0607,13.84,60.4,29,40,6.24,scattered clouds
139,Cidreira,BR,-30.1811,-50.2056,59.58,71,33,8.84,scattered clouds
140,Teguise,ES,29.0605,-13.564,62.82,72,20,12.66,few clouds
141,Bethel,US,41.3712,-73.414,77.04,51,99,1.01,overcast clouds
142,Beloha,MG,-25.1667,45.05,67.44,83,100,18.07,overcast clouds
143,Chutove,UA,49.7104,35.1603,50.34,93,100,18.07,overcast clouds
144,Quixada,BR,-4.9714,-39.0153,78.06,64,78,3.65,broken clouds
145,Longyearbyen,SJ,78.2186,15.6401,32.88,93,100,3.94,overcast clouds
146,Dunedin,NZ,-45.8742,170.5036,49.87,69,61,7.67,broken clouds
147,Tabou,CI,4.423,-7.3528,78.8,83,99,6.71,overcast clouds
148,Great Yarmouth,GB,52.6083,1.7305,57.94,84,2,12.64,clear sky
149,Luderitz,NA,-26.6481,15.1594,63.59,37,0,11.61,clear sky
150,Bousse,BF,12.6606,-1.8922,89.17,26,80,8.14,broken clouds
151,Chokurdakh,RU,70.6333,147.9167,66.61,27,60,5.99,broken clouds
152,San Patricio,US,28.017,-97.5169,84.07,56,76,12.62,broken clouds
153,Lamu,KE,-2.2717,40.902,79.02,82,99,14.27,light rain
154,Georgetown,MY,5.4112,100.3354,80.89,91,20,3.0,few clouds
155,Isangel,VU,-19.55,169.2667,71.71,78,75,11.54,broken clouds
156,Nanortalik,GL,60.1432,-45.2371,39.51,77,63,7.4,broken clouds
157,Pingshan,CN,22.9938,114.7131,76.96,92,99,3.69,overcast clouds
158,Murmansk,RU,68.0,34.0,45.18,87,100,3.94,overcast clouds
159,Shadegan,IR,30.6497,48.6647,94.95,9,0,20.07,clear sky
160,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,90,3.44,overcast clouds
161,Salalah,OM,17.0151,54.0924,80.31,81,100,6.33,overcast clouds
162,Vostok,RU,46.4856,135.8833,50.92,95,100,2.93,overcast clouds
163,Grand-Santi,GF,4.25,-54.3833,75.92,94,97,1.7,moderate rain
164,Byron Bay,AU,-28.65,153.6167,59.05,83,100,1.92,overcast clouds
165,Gori,GE,41.9842,44.1158,57.43,95,1,6.93,clear sky
166,Kendari,ID,-3.945,122.4989,73.65,95,96,2.82,overcast clouds
167,Vryburg,ZA,-26.9566,24.7284,41.18,52,0,7.96,clear sky
168,Kathu,TH,7.9178,98.3332,85.69,75,96,7.43,overcast clouds
169,Abha,SA,18.2164,42.5053,73.22,15,0,12.26,clear sky
170,Tessalit,ML,20.1986,1.0114,93.96,8,43,3.91,scattered clouds
171,Aykhal,RU,66.0,111.5,63.01,58,56,10.13,broken clouds
172,Albany,US,42.6001,-73.9662,76.59,46,65,7.02,broken clouds
173,Altamira,BR,-3.2033,-52.2064,82.49,83,20,1.14,few clouds
174,Basco,PH,20.4487,121.9702,83.77,78,98,13.58,overcast clouds
175,Zyryanka,RU,65.75,150.85,60.3,31,40,6.73,scattered clouds
176,Baruun-Urt,MN,46.6806,113.2792,42.03,50,100,4.41,overcast clouds
177,Bubaque,GW,11.2833,-15.8333,79.45,81,90,11.88,overcast clouds
178,Hassleholm,SE,56.1591,13.7664,54.93,89,49,3.49,scattered clouds
179,Karasjok,NO,69.4719,25.5112,48.31,75,11,2.98,few clouds
180,Kirakira,SB,-10.4544,161.9205,81.25,84,94,10.36,overcast clouds
181,Russell,US,32.3502,-85.1999,86.95,44,1,5.01,clear sky
182,Fomboni,KM,-12.28,43.7425,79.68,71,8,6.11,clear sky
183,Batemans Bay,AU,-35.7167,150.1833,47.91,61,73,3.33,broken clouds
184,Hovd,MN,48.0056,91.6419,49.5,25,0,0.89,clear sky
185,Vao,NC,-22.6667,167.4833,69.12,57,100,11.25,overcast clouds
186,Sinnamary,GF,5.3833,-52.95,76.78,90,99,5.61,overcast clouds
187,Danville,US,36.586,-79.395,81.36,46,100,1.01,overcast clouds
188,Verkhnyaya Inta,RU,65.9811,60.3094,31.96,95,100,22.93,light snow
189,Kampot,KH,10.6167,104.1833,82.45,84,94,6.44,overcast clouds
190,Natchez,US,31.5604,-91.4032,83.64,65,40,6.91,light rain
191,Letlhakane,BW,-21.4167,25.5833,53.04,22,0,12.21,clear sky
192,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,86,90,7.18,overcast clouds
193,Ampanihy,MG,-24.7,44.75,65.86,86,100,14.65,overcast clouds
194,Tullamore,IE,53.2739,-7.4889,59.4,94,58,1.77,broken clouds
195,Bengkulu,ID,-3.8004,102.2655,74.77,92,89,4.29,overcast clouds
196,Peniche,PT,39.3558,-9.3811,62.74,89,92,4.94,overcast clouds
197,Paso De Los Toros,UY,-32.8167,-56.5167,59.34,71,95,6.62,overcast clouds
198,Ucluelet,CA,48.9329,-125.5528,90.09,75,32,9.55,scattered clouds
199,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,20,5.75,few clouds
200,Ancud,CL,-41.8697,-73.8203,49.53,75,95,7.38,overcast clouds
201,Uyuni,BO,-20.4597,-66.825,42.4,16,75,7.02,broken clouds
202,Lorengau,PG,-2.0226,147.2712,78.48,83,97,3.76,overcast clouds
203,Miramar,US,25.9873,-80.2323,84.0,72,6,4.0,clear sky
204,Wamba,NG,8.9333,8.6,75.18,76,100,4.29,overcast clouds
205,Cap-Chat,CA,49.1001,-66.6821,55.4,71,96,23.02,overcast clouds
206,Sederot,IL,31.525,34.5969,72.79,72,0,3.96,clear sky
207,Klobuck,PL,50.9008,18.9367,57.65,73,98,6.87,overcast clouds
208,Loanda,AO,-8.8368,13.2343,77.0,83,0,5.75,clear sky
209,Cherskiy,RU,68.75,161.3,65.19,27,9,3.31,clear sky
210,Pinhao,BR,-25.6956,-51.6597,54.14,79,6,2.44,clear sky
211,Kodiak,US,57.79,-152.4072,46.71,86,99,11.7,light rain
212,Reynoldsburg,US,39.9548,-82.8121,76.82,47,90,1.99,overcast clouds
213,Tazovskiy,RU,67.4667,78.7,42.6,65,100,17.56,overcast clouds
214,Kahului,US,20.8947,-156.47,84.22,67,20,24.16,few clouds
215,Dullewala,PK,31.8359,71.4362,87.67,46,0,9.08,clear sky
216,Berlevag,NO,70.8578,29.0864,43.5,94,100,17.43,overcast clouds
217,Saint-Georges,GD,12.0564,-61.7485,83.88,65,20,17.27,few clouds
218,Puri,IN,19.8,85.85,88.38,89,4,13.09,clear sky
219,Te Anau,NZ,-45.4167,167.7167,48.04,90,99,4.83,overcast clouds
220,Kavaratti,IN,10.5669,72.642,83.48,77,92,15.41,overcast clouds
221,Tasiilaq,GL,65.6145,-37.6368,33.31,73,6,5.01,clear sky
222,Fukue,JP,32.6881,128.8419,70.3,78,100,7.34,overcast clouds
223,Lagoa,PT,39.05,-27.9833,59.67,58,58,13.02,broken clouds
224,Thanh Hoa,VN,19.8,105.7667,83.1,85,78,3.69,broken clouds
225,Samarai,PG,-10.6167,150.6667,78.31,75,96,17.92,overcast clouds
226,Arco,IT,45.9177,10.8867,64.58,90,43,1.12,scattered clouds
227,San Juan,AR,-31.5375,-68.5364,73.72,35,73,13.2,broken clouds
228,Riyadh,SA,24.6877,46.7219,91.54,16,0,3.44,clear sky
